"optGrpID","optGrpWorkingName"
"1358","1/4NPT"
"1359","1/4NPT+1/8"
"1360","1/4NPT-only"
"810","106-049"
"302","16OZ"
"654","1992 Lettering Brush"
"299","2OZ"
"1260","2OZ PET"
"1365","2oz Training Kit Lumilor"
"193","3 Sizes-ONE 106/108/153/155"
"1410","3 Sizes-ONE 153 *QP O/S*"
"1411","3 Sizes-ONE 155 *QP/HP O/S*"
"874","3M 0652 Tape"
"1145","3M 16615 Accuspray Head 1.2"
"1245","3M 363 Poly Tape"
"505","3M 5527"
"733","3M Blue Painters Tape"
"492","3M Finish"
"494","3M Gold Disk (125)"
"969","3M Gold Disk (75)"
"495","3M Gold Disk (75)"
"493","3M Gold Sheet"
"491","3M Hookit"
"350","3M Masking"
"667","3M Perfect It Rubbing Compound"
"1119","3M PPS 16000"
"1120","3M PPS 16024"
"1121","3M PPS 16028"
"1129","3M PPS 16065"
"1130","3M PPS 16066"
"1131","3M PPS 16091"
"1122","3M PPS 16112"
"1123","3M PPS 16114"
"1124","3M PPS 16301"
"1125","3M PPS 16312"
"1126","3M PPS 16314"
"1127","3M PPS 16325"
"1128","3M PPS 16328"
"603","3M Swirl Remover"
"806","3M Trizact"
"604","3M Ultrafina SE"
"353","3M Wet/Dry"
"656","3M Xtra Cut Rubbing Compound"
"967","3M Yellow Automotive Tape"
"697","4006L"
"1094","4007L One Shot"
"865","4012 Reducer"
"1424","4012 Reducer *O/S Sizes*"
"1008","4020 Reducer"
"1003","4030 Intercoat"
"1135","4040 Bleed Checker"
"1285","4050 UVLS Gloss"
"1286","4051 UVLS Satin"
"1287","4052 UVLS Matte"
"300","4OZ"
"1073","4oz Bundle Lumicolor"
"1188","4oz Bundle Lumilor"
"1258","4OZ PET"
"1184","4oz PRO Bundle Lumilor"
"1183","4oz PRO Training Kit Lumilor"
"1153","4oz Training Kit Lumilor"
"1244","5087 Illustration Op. Set"
"540","5400C"
"19","5618 Cleaner"
"356","5900"
"194","7 Sizes-ONE 109-111"
"524","7102 High Teck"
"361","7447"
"362","7448"
"522","77165 High Teck"
"1070","77165 High Teck KIT"
"196","8 Sizes-ONE 161-165"
"301","8OZ"
"1150","8oz Bundle Lumilor"
"1259","8OZ PET"
"1185","8oz PRO Bundle Lumilor"
"1047","9500"
"1048","9520"
"618","ABA Tees"
"843","AC7 Cleaning"
"248","Accessories-Revolutions"
"840","Accessories-T Shirt Kits (AC-7)"
"712","Advantage Reducer"
"710","Advantage Single Stage"
"666","Advantage Wax and Grease"
"531","AF20"
"418","Air Gunsa HVLP"
"419","Air Gunsa Non HVLP"
"567","Air Opaque"
"1044","Airbrush Case FREE"
"1356","Airbrush Grips"
"528","AJ Extreme"
"527","AJ Mini"
"1206","Alpha 6 Free Accessories Black Friday"
"1208","Alpha6 - 01"
"1209","Alpha6 - 02"
"1210","Alpha6 - 03"
"1211","Alpha6 - 04"
"1212","Alpha6 - 05"
"1213","Alpha6 - 06"
"1214","Alpha6 - 07"
"1215","Alpha6 - 08"
"1216","Alpha6 - 09"
"1217","Alpha6 - 10"
"1218","Alpha6 - 11"
"1219","Alpha6 - 12"
"1220","Alpha6 - 13"
"1221","Alpha6 - 14"
"1222","Alpha6 - 15"
"1223","Alpha6 - 16"
"1232","Alpha6 - Black/White"
"1237","Alpha6 - Black/White (No 4oz Can)"
"1238","Alpha6 - Black/White (NO Cans)"
"1233","Alpha6 - Colors"
"1235","Alpha6 - Colors (No 4oz Can)"
"1236","Alpha6 - Colors (NO Cans)"
"1266","Alpha6 - Colors 5oz Bottle ONLY"
"1291","Alpha6 - Electroshock 5oz Bottle ONLY"
"1292","Alpha6 - Electroshock Bottles ONLY"
"1243","Alpha6 - Metallic Gold (NO Cans)"
"1234","Alpha6 - Metallic Silver (NO Cans)"
"387","Alsa Black Candy"
"386","Alsa Candy"
"380","Alsa Clear"
"381","Alsa Hardener"
"566","Aluminum Bases"
"1437","Aluminum Bases 16/32"
"1438","Aluminum Bases 32oz"
"1439","Aluminum Bases 4/32"
"1436","Aluminum Bases 4oz"
"532","AMG"
"711","AMG150"
"601","Anest Iwata Spray Gun Lube"
"1343","Anest Iwata Spray Suit"
"1377","AOLN"
"1340","AP01 Adhesion Promoter"
"696","Aquaflow Retarder"
"561","AR"
"533","AR20"
"344","Architec Scales"
"557","Argyle"
"346","Art Mask"
"845","ASK-1 Kit"
"846","ASK-3 Kit"
"847","ASK-4 Kit"
"975","Aurora III"
"1072","Auto Borne Sealer Transparent"
"908","Auto Borne Sealers"
"1338","Auto Borne Sealers 16/32"
"1155","Auto Borne Sealers 8/16/32"
"1109","Auto Borne Sealers w/ 2oz"
"794","Automask"
